File,Job,Vessel,Swath,Sequence,Index,Pass,Status,JDay,DateTime,GPSTime,Point,Line,Station,PCode,PDepth,WDepth,Easting,Northing,Elevation,IlineOff,XlineOff,TotalOff,FinalPos,HDOP,DGPSAge,NSats,PCalc,Echo,CMG,Speed,Bearing,GSeparation,GunDepth,Pressure,Volume,NGuns,DeltaErrors,Autofires,Misfires,PTimeBase,PTimeDither,PTimeActual,Failure
1,NH3D,3,0,1,9,1,0,76,01:15.0,1.24E+15,10115080,1011,5080,A1,5,74.8,198680.7,2035204.8,0,4261.26,3007,5215.4,1,0.767,14.2,10,7,-68.38,308.9277,4.4,117.6063,5.67,5.3,1765,0,0,0,0,0,1.24E+15,0,0.001511,Volume
2,NH3D,3,0,1,9,1,0,76,01:20.0,1.24E+15,10115081,1011,5081,A2,5,74.4,198636.5,2035178.5,0,4321.29,2981.77,5250.19,1,0.767,18.2,10,7,-68.29,309.674,4.4,117.5993,5.65,4.9,1776,0,0,0,0,0,1.24E+15,0,0.001498,Volume
3,NH3D,3,0,1,9,1,0,76,01:25.0,1.24E+15,10115082,1011,5082,A1,5.2,74.4,198662.4,2035220.5,0,4323.53,2990.24,5256.85,1,0.767,23.2,10,7,-68.3,309.3824,4.4,117.6389,5.66,4.9,1786,240,3,3,0,0,1.24E+15,0,0.001498,DeltaErrors
4,NH3D,3,0,1,9,1,0,76,01:30.0,1.24E+15,10115083,1011,5083,A2,5,74.6,198617.8,2035194,0,4384,2965.12,5292.58,1,0.931,28.2,9,7,-68.21,309.3341,4.4,117.7554,5.66,5,1792,500,0,0,0,0,1.24E+15,0,0.001511,Volume
5,NH3D,3,0,1,9,1,0,76,01:35.0,1.24E+15,10115084,1011,5084,A1,5.2,74.2,198643.9,2035236.1,0,4386.05,2973.59,5299.03,1,0.931,33.2,9,7,-68.11,309.2769,4.4,118.0505,9,5.4,1804,240,3,3,0,0,1.24E+15,0,0.001512,DeltaErrors
6,NH3D,3,0,1,9,1,0,76,01:40.0,1.24E+15,10115085,1011,5085,A2,5,74.5,198599.3,2035209.7,0,4446.48,2948.36,5335.17,1,0.931,8.2,9,7,-67.92,309.2973,4.4,118.0156,5.66,5.3,1810,1000,0,0,0,0,1.24E+15,0,0.001511,Volume
7,NH3D,3,0,1,9,1,0,76,01:45.0,1.24E+15,10115086,1011,5086,A1,5.2,74.4,198625.5,2035251.8,0,4448.38,2956.73,5341.38,1,0.931,13.2,9,7,-68.07,309.5264,4.4,118.1199,5.65,5.4,1820,240,3,0,0,0,1.24E+15,0,0.001512,Volume
8,NH3D,3,0,1,9,1,0,76,01:50.0,1.24E+15,10115087,1011,5087,A2,5,74.4,198581,2035225.5,0,4508.71,2931.5,5377.93,1,0.931,18.2,9,7,-67.91,309.7505,4.4,118.0397,6.38,5.4,1828,1000,0,0,0,0,1.24E+15,0,0.00151,Volume
9,NH3D,3,0,1,9,1,0,76,01:55.0,1.24E+15,10115088,1011,5088,A1,5.2,74.4,198607.2,2035267.7,0,4510.58,2939.76,5384.01,1,0.931,23.2,9,7,-67.97,309.9204,4.4,118.1143,10,5.3,1838,2400,3,0,0,0,1.24E+15,0,0.001511,Volume
10,NH3D,3,0,1,9,1,0,76,02:00.0,1.24E+15,10115089,1011,5089,A2,5.1,74.3,198562.6,2035241.4,0,4570.97,2914.42,5421.03,1,0.931,28.2,9,7,-67.92,309.7918,4.4,117.9512,6.4,5.4,1845,2400,3,3,0,0,1.24E+15,0,0.001501,DeltaErrors
11,NH3D,3,0,1,9,1,0,76,02:05.0,1.24E+15,10115090,1011,5090,A1,5.2,74.3,198588.8,2035283.4,0,4572.96,2923,5427.33,1,0.931,33.2,9,7,-68.08,309.7137,4.4,117.8812,6.41,5.3,1853,2400,3,0,0,0,1.24E+15,0,0.001502,Volume
